@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R23-25

@attribute PosX_P numeric
@attribute PosY_P numeric
@attribute IsLegalNorth {0,1}
@attribute IsLegalEast {0,1}
@attribute IsLegalSouth {0,1}
@attribute IsLegalWest {0,1}
@attribute IsLegalStop {0,1}
@attribute PosX_G0 numeric
@attribute PosY_G0 numeric
@attribute PosX_G1 numeric
@attribute PosY_G1 numeric
@attribute PosX_G2 numeric
@attribute PosY_G2 numeric
@attribute PosX_G3 numeric
@attribute PosY_G3 numeric
@attribute Dis_G0 numeric
@attribute Dis_G1 numeric
@attribute Dis_G2 numeric
@attribute Dis_G3 numeric
@attribute Dis_Dot numeric
@attribute Dir_P {North,South,East,West,Stop}
@attribute Score numeric

@data
9,9,0,1,1,1,1,3,5,3,1,5,1,7,1,10,-1,-1,-1,1,North,2644
8,9,0,1,0,1,1,3,5,3,1,5,1,7,1,9,-1,-1,-1,1,West,2743
7,9,0,1,0,1,1,3,5,3,1,5,1,7,1,8,-1,-1,-1,1,West,2842
6,9,1,1,1,1,1,3,5,3,1,5,1,7,1,7,-1,-1,-1,1,West,2941
5,9,0,1,0,1,1,3,5,3,1,5,1,7,1,6,-1,-1,-1,1,West,3040
4,9,1,1,0,1,1,3,5,3,1,5,1,7,1,5,-1,-1,-1,1,West,3139
3,9,0,1,1,0,1,3,5,3,1,5,1,7,1,4,-1,-1,-1,1,West,3238
9,3,0,1,0,1,1,8,7,10,7,11,7,17,9,5,5,6,14,1,Stop,0
9,3,0,1,0,1,1,8,7,10,7,11,7,17,9,5,5,6,14,1,Stop,-1
9,3,0,1,0,1,1,8,7,10,7,11,7,17,9,5,5,6,14,1,Stop,-2
9,3,0,1,0,1,1,8,7,10,7,11,7,17,9,5,5,6,14,1,Stop,-3
9,3,0,1,0,1,1,8,7,10,7,11,7,17,9,5,5,6,14,1,Stop,-4
9,3,0,1,0,1,1,8,7,10,7,11,7,17,9,5,5,6,14,1,Stop,-5
10,3,0,1,0,1,1,8,7,10,7,11,7,17,9,6,4,5,13,1,East,94
11,3,1,1,0,1,1,8,7,10,7,11,7,17,9,7,5,4,12,1,East,193
12,3,0,1,0,1,1,8,7,10,7,11,7,17,9,8,6,5,11,1,East,292
13,3,1,0,0,1,1,8,7,10,7,11,7,17,9,9,7,6,10,1,East,391
13,4,1,0,1,0,1,8,7,10,7,11,7,17,9,8,6,5,9,1,North,490
13,5,1,0,1,0,1,8,7,10,7,11,7,17,9,7,5,4,8,1,North,589
13,6,1,0,1,0,1,8,7,10,7,11,7,17,9,6,4,3,7,1,North,688
13,7,1,1,1,0,1,8,7,10,7,11,7,17,9,5,3,2,6,1,North,787
14,7,0,1,0,1,1,8,7,10,7,11,7,17,9,6,4,3,5,1,East,886
15,7,1,1,0,1,1,8,7,10,7,11,7,17,9,7,5,4,4,1,East,985
15,8,1,0,1,0,1,8,7,10,7,11,7,17,9,8,6,5,3,1,North,1084
15,9,0,1,1,0,1,8,7,10,7,11,7,17,9,9,7,6,2,1,North,1183
15,9,0,1,1,0,1,8,7,10,7,11,7,17,9,9,7,6,2,1,North,1182
16,9,0,1,0,1,1,8,7,10,7,11,7,17,9,10,8,7,1,2,East,1281
17,9,0,1,0,1,1,8,7,10,7,11,7,7,1,11,9,8,-1,2,East,1480
18,9,0,0,1,1,1,8,7,10,7,11,7,7,1,12,10,9,-1,1,East,1479
17,9,0,1,0,1,1,8,7,10,7,11,7,7,1,11,9,8,-1,2,West,1478
16,9,0,1,0,1,1,8,7,10,7,11,7,7,1,10,8,7,-1,2,West,1477
15,9,0,1,1,0,1,8,7,10,7,11,7,7,1,9,7,6,-1,2,West,1476
15,8,1,0,1,0,1,8,7,10,7,11,7,7,1,8,6,5,-1,2,South,1475
15,7,1,1,0,1,1,8,7,10,7,11,7,7,1,7,5,4,-1,1,South,1474
14,7,0,1,0,1,1,8,7,10,7,11,7,7,1,6,4,3,-1,2,West,1473
13,7,1,1,1,0,1,8,7,10,7,11,7,7,1,5,3,2,-1,1,West,1472
13,7,1,1,1,0,1,8,7,10,7,11,7,7,1,5,3,2,-1,1,West,1471
13,8,1,0,1,0,1,8,7,10,7,11,7,7,1,6,4,3,-1,1,North,1570
13,9,0,0,1,1,1,8,7,10,7,11,7,7,1,7,5,4,-1,1,North,1669
12,9,0,1,0,1,1,8,7,10,7,11,7,7,1,6,4,3,-1,1,West,1768
11,9,0,1,0,1,1,8,7,10,7,11,7,7,1,5,3,2,-1,1,West,1867
10,9,0,1,1,1,1,8,7,10,7,11,7,7,1,4,2,3,-1,1,West,1966
9,9,0,1,1,1,1,8,7,10,7,11,7,7,1,3,3,4,-1,1,West,2065
9,8,1,1,1,0,1,8,7,10,7,11,7,7,1,2,2,3,-1,1,South,2164
9,7,1,1,1,1,1,8,7,10,7,11,7,7,1,1,1,2,-1,2,South,2163
10,7,1,1,0,1,1,8,7,3,1,11,7,7,1,2,-1,1,-1,1,East,2362
1,18,0,1,1,0,1,5,9,11,3,17,6,25,13,13,25,28,29,-1,Stop,0
1,18,0,1,1,0,1,5,9,11,3,17,6,25,13,13,25,28,29,-1,Stop,-1
1,18,0,1,1,0,1,5,9,11,3,17,6,25,13,13,25,28,29,-1,Stop,-2
1,18,0,1,1,0,1,5,9,11,3,17,6,25,13,13,25,28,29,-1,Stop,-3
1,18,0,1,1,0,1,5,9,11,3,17,6,25,13,13,25,28,29,-1,Stop,-4
2,18,0,1,0,1,1,5,9,11,3,17,6,25,13,12,24,27,28,-1,East,-5
1,18,0,1,1,0,1,5,9,11,3,17,6,25,13,13,25,28,29,-1,West,-6
1,18,0,1,1,0,1,5,9,11,3,17,6,25,13,13,25,28,29,-1,West,-7
1,18,0,1,1,0,1,5,9,11,3,17,6,25,13,13,25,28,29,-1,West,-8
1,17,1,0,1,0,1,5,9,11,3,17,6,25,13,12,24,27,28,-1,South,-9
1,16,1,1,1,0,1,5,9,11,3,17,6,25,13,11,23,26,27,-1,South,-10
1,15,1,1,1,0,1,5,9,11,3,17,6,25,13,10,22,25,26,-1,South,-11
1,14,1,1,1,0,1,5,9,11,3,17,6,25,13,9,21,24,25,-1,South,-12
1,13,1,0,1,0,1,5,9,11,3,17,6,25,13,8,20,23,24,-1,South,-13
1,12,1,1,1,0,1,5,9,11,3,17,6,25,13,7,19,22,25,-1,South,-14
1,11,1,0,1,0,1,5,9,11,3,17,6,25,13,6,18,21,26,-1,South,-15
1,10,1,0,1,0,1,5,9,11,3,17,6,25,13,5,17,20,27,-1,South,-16
1,9,1,0,1,0,1,5,9,11,3,17,6,25,13,4,16,19,28,-1,South,-17
1,8,1,0,1,0,1,5,9,11,3,17,6,25,13,5,15,18,29,-1,South,-18
1,7,1,0,1,0,1,5,9,11,3,17,6,25,13,6,14,17,30,-1,South,-19
1,6,1,1,1,0,1,5,9,11,3,17,6,25,13,7,13,16,31,-1,South,-20
2,6,0,1,1,1,1,5,9,11,3,17,6,25,13,6,12,15,30,-1,East,-21
3,6,1,1,1,1,1,5,9,11,3,17,6,25,13,5,11,14,29,-1,East,-22
4,6,1,1,1,1,1,5,9,11,3,17,6,25,13,4,10,13,28,-1,East,-23
4,7,1,1,1,1,1,5,9,11,3,17,6,25,13,3,11,14,27,-1,North,-24
4,8,1,1,1,1,1,5,9,11,3,17,6,25,13,2,12,15,26,-1,North,-25
4,9,1,1,1,1,1,5,9,11,3,17,6,25,13,1,13,16,25,-1,North,-26
5,9,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,12,15,24,-1,East,173
6,9,1,0,1,1,1,1,1,11,3,17,6,25,13,-1,11,14,23,-1,East,172
6,9,1,0,1,1,1,1,1,11,3,17,6,25,13,-1,11,14,23,-1,East,171
6,8,1,0,1,1,1,1,1,11,3,17,6,25,13,-1,10,13,24,-1,South,170
6,7,1,0,1,1,1,1,1,11,3,17,6,25,13,-1,9,12,25,-1,South,169
6,6,1,1,0,1,1,1,1,11,3,17,6,25,13,-1,8,11,26,-1,South,168
7,6,0,1,0,1,1,1,1,11,3,17,6,25,13,-1,7,10,25,-1,East,167
8,6,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,6,9,24,-1,East,166
9,6,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,5,8,23,-1,East,165
10,6,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,4,7,22,-1,East,164
10,5,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,3,8,23,-1,South,163
10,4,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,2,9,24,-1,South,162
10,3,1,1,0,1,1,1,1,11,3,17,6,25,13,-1,1,10,25,-1,South,161
10,3,1,1,0,1,1,1,1,11,3,17,6,25,13,-1,1,10,25,-1,South,160
11,3,1,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,9,24,-1,East,359
11,3,1,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,9,24,-1,East,358
11,4,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,8,23,-1,North,357
